date,18:00,19:00,20:00
12/14/2018,41.80000,41.30000,41.60000
12/15/2018,28.20000,28.60000,28.40000
12/16/2018,37.50000,36.80000,32.50000
12/17/2018,40.50000,39.70000,39.70000
12/18/2018,39.70000,39.40000,39.30000
12/19/2018,40.70000,38.90000,39.10000
12/20/2018,38.40000,38.40000,38.20000
12/21/2018,41.00000,40.90000,40.00000
12/22/2018,33.30000,33.10000,33.40000
12/23/2018,37.40000,37.00000,33.30000
12/24/2018,40.10000,41.00000,40.70000
12/25/2018,43.50000,42.40000,41.90000
12/26/2018,41.30000,40.70000,40.50000
12/27/2018,43.40000,42.40000,42.70000
12/28/2018,41.90000,41.20000,41.70000
12/29/2018,36.50000,36.50000,36.20000
12/30/2018,38.10000,38.50000,33.40000
12/31/2018,41.90000,40.60000,40.00000
1/1/2019,38.70000,39.10000,39.50000
1/2/2019,41.00000,40.50000,39.60000
1/3/2019,40.70000,39.80000,39.00000
1/4/2019,40.20000,38.30000,37.80000
1/5/2019,33.70000,34.10000,33.30000
1/6/2019,36.80000,37.00000,33.90000
1/7/2019,40.40000,40.40000,40.50000
1/8/2019,43.10000,42.10000,42.30000
1/9/2019,42.60000,42.10000,41.70000
1/10/2019,41.50000,40.90000,41.30000
1/11/2019,40.10000,39.50000,39.20000
1/12/2019,29.30000,29.10000,28.70000
1/13/2019,37.80000,38.20000,33.30000
1/14/2019,42.00000,41.20000,38.70000
1/15/2019,37.70000,38.10000,37.60000
1/16/2019,40.70000,40.30000,39.20000
1/17/2019,37.70000,36.30000,38.00000
1/18/2019,39.80000,38.70000,39.00000
1/19/2019,31.10000,31.10000,31.30000
1/20/2019,34.40000,33.90000,32.00000
1/21/2019,36.50000,36.70000,37.20000
1/22/2019,42.10000,40.80000,39.70000
1/23/2019,39.30000,39.10000,39.90000
1/24/2019,38.70000,38.20000,38.40000
1/25/2019,37.20000,36.60000,37.20000
1/26/2019,34.00000,34.10000,34.20000
1/27/2019,35.00000,35.90000,31.90000
1/28/2019,41.60000,42.00000,41.90000
1/29/2019,39.10000,38.80000,40.00000
1/30/2019,41.80000,41.00000,39.60000
1/31/2019,39.20000,38.70000,38.10000
2/1/2019,42.40000,41.70000,41.50000
2/2/2019,33.20000,33.30000,33.30000
2/3/2019,37.30000,38.10000,33.90000
2/4/2019,37.90000,36.70000,37.60000
2/5/2019,40.90000,39.50000,37.90000
2/6/2019,37.20000,37.40000,36.40000
2/7/2019,36.20000,35.80000,35.50000
2/8/2019,36.30000,35.50000,35.30000
2/9/2019,35.70000,36.10000,35.80000
2/10/2019,32.50000,32.10000,30.90000
2/11/2019,39.30000,38.10000,37.50000
2/12/2019,37.90000,37.80000,36.60000
2/13/2019,39.80000,38.70000,38.70000
2/14/2019,37.00000,36.60000,36.50000
2/15/2019,39.30000,39.10000,39.10000
2/16/2019,35.90000,36.10000,36.40000
2/17/2019,36.70000,36.60000,32.30000
